lon;lat
-93.93589;46.48543
-93.93806;46.48443
-93.93829;46.48431
-93.93989;46.48351
-93.94085;46.48302
-93.94134;46.48281
-93.94181;46.48265
-93.94247;46.48251
-93.94272;46.48248
-93.94297;46.48245
-93.94318;46.48244
-93.94322;46.48244
-93.94338;46.48243
-93.94425;46.48243
-93.94456;46.48243
-93.94672;46.48243
-93.94859;46.48245
-93.95044;46.48244
-93.95231;46.48246
-93.95419;46.48246
-93.95606;46.48245
-93.95762;46.48245
-93.95762;46.48154
-93.95763;46.48063
-93.95762;46.47972
-93.95762;46.47933
-93.95761;46.47906
-93.95764;46.47892
-93.95768;46.47879
-93.9577;46.4787
-93.95778;46.47862
-93.95823;46.47826
-93.95866;46.47805
-93.95975;46.47744
-93.95969;46.47639
-93.95957;46.47616
-93.95876;46.47564
-93.95857;46.47552
-93.95814;46.47523
-93.95778;46.47487
-93.95772;46.47473
-93.9572;46.474
-93.95762;46.47352
-93.95768;46.47291
-93.95777;46.47212
-93.95782;46.47152
-93.9578;46.4712
-93.95769;46.47088
-93.95746;46.47059
-93.95714;46.47031
-93.95701;46.47024
-93.95676;46.47009
-93.95654;46.46998
-93.95633;46.47014
-93.95625;46.47019
-93.95619;46.47021
-93.95612;46.47023
-93.95589;46.47026
-93.95529;46.47027
-93.95442;46.47027
-93.95338;46.47028
-93.95227;46.47028
-93.9522;46.4707
-93.9523;46.47093
-93.95229;46.47136
-93.9521;46.4715
-93.95205;46.47157
-93.95191;46.47165
-93.95175;46.47173
-93.94952;46.47176
-93.94783;46.47176
-93.94723;46.47177
-93.94687;46.47182
-93.94659;46.47187
-93.94629;46.47194
-93.94543;46.47248
-93.94501;46.47276
-93.9447;46.47292
-93.94432;46.47302
-93.94404;46.47305
-93.94365;46.47312
-93.94337;46.47315
-93.94305;46.47315
-93.94279;46.47312
-93.94236;46.47307
-93.9417;46.47308
-93.9403;46.4733
-93.94001;46.47337
-93.93979;46.47343
-93.93936;46.47354
-93.93896;46.47369
-93.93872;46.47375
-93.93851;46.47379
-93.93832;46.47381
-93.93798;46.47384
-93.9377;46.47388
-93.9375;46.4739
-93.9375;46.47392
-93.93678;46.47406
-93.93646;46.47413
-93.9351;46.4741
-93.93491;46.47412
-93.9347;46.47414
-93.93452;46.47419
-93.93443;46.47423
-93.93436;46.47427
-93.93428;46.47432
-93.93419;46.47439
-93.93413;46.47445
-93.93372;46.47485
-93.93359;46.47504
-93.9335;46.47515
-93.93343;46.47522
-93.93339;46.47526
-93.93335;46.47528
-93.93332;46.47529
-93.93321;46.47531
-93.93305;46.47533
-93.92995;46.47553
-93.92988;46.47554
-93.92968;46.47555
-93.9265;46.4757
-93.92144;46.47598
-93.92141;46.47559
-93.9214;46.47538
-93.92139;46.47523
-93.92139;46.47497
-93.92137;46.47478
-93.92132;46.47416
-93.92129;46.47351
-93.92127;46.47324
-93.92124;46.47253
-93.92123;46.47244
-93.9212;46.4723
-93.92123;46.47219
-93.92122;46.47214
-93.92118;46.47193
-93.92112;46.47179
-93.92102;46.47159
-93.92092;46.47142
-93.92063;46.47094
-93.9204;46.4707
-93.9203;46.4705
-93.92027;46.47038
-93.92003;46.47
-93.91984;46.46955
-93.91977;46.46894
-93.91976;46.46858
-93.91983;46.46837
-93.91572;46.46786
-93.9151;46.4678
-93.91383;46.46765
-93.9134;46.46768
-93.91303;46.46773
-93.9128;46.46777
-93.91256;46.46784
-93.91236;46.46791
-93.91215;46.468
-93.91193;46.46812
-93.91176;46.46822
-93.9115;46.4684
-93.91137;46.46855
-93.91111;46.46886
-93.91076;46.46928
-93.91057;46.46949
-93.91019;46.46985
-93.91003;46.46997
-93.90981;46.47013
-93.90961;46.47026
-93.90944;46.47035
-93.90929;46.47043
-93.90908;46.47053
-93.9084;46.47078
-93.90676;46.47135
-93.9062;46.4715
-93.90532;46.47184
-93.90399;46.47229
-93.90235;46.47285
-93.90064;46.47344
-93.90072;46.47358
